地点页顺序,地点,地点ID,新图片文件,状态
45,Audo House,intake-audo,IMG_3494.jpg,已替换（顺序结合图像内容校对）
46,Hooked,intake-hooked,IMG_3495.jpg,已替换（顺序结合图像内容校对）
47,Netto,intake-netto,IMG_3496.JPG,已替换（顺序结合图像内容校对）
48,TorvehallerneKBH,intake-torvehallerne,IMG_3497.JPG,已替换（顺序结合图像内容校对）
49,Balue,intake-balue,IMG_3498.JPG,已替换（顺序结合图像内容校对）
50,Den Glade Gris,intake-den-glade-gris,IMG_3499.JPG,已替换（顺序结合图像内容校对）
51,Taverna'n,intake-tavernahn,IMG_3500.JPG,已替换（顺序结合图像内容校对）
52,Mamma Pizza,intake-mamma-pizza,IMG_3501.JPG,已替换（顺序结合图像内容校对）
53,葛鲁尼洛卡（Grünerløkka）,intake-grunerlokka,IMG_3502.JPG,已替换（顺序结合图像内容校对）
54,Mjøl Bakeri Homansbyen,intake-mjol,IMG_3503.JPG,已替换（顺序结合图像内容校对）
55,élan,intake-elan,IMG_3504.JPG,已替换（顺序结合图像内容校对）
56,Hart（分店 1）,intake-hart-1,IMG_3505.jpg,已替换（顺序结合图像内容校对）
57,Hart（分店 2）,intake-hart-2, Hart（分店 2）.jpeg,已替换（用户按地点名称补充）
58,Prolog Coffee Bar Papirøen,intake-prolog,IMG_3506.JPG,已替换（顺序结合图像内容校对）
59,Juno the bakery,intake-juno,IMG_3507.JPG,已替换（顺序结合图像内容校对）
60,Mad & Kaffe,intake-mad-kaffe,IMG_3508.jpg,已替换（顺序结合图像内容校对）
61,Amator,intake-amator,IMG_3509.jpg,已替换（顺序结合图像内容校对）
62,ÅBEN Kødbyen,intake-aben,IMG_3511.jpg,已替换（顺序结合图像内容校对）
63,RAINS,intake-rains,IMG_3512.JPG,已替换（顺序结合图像内容校对）
64,中世纪博物馆（Medeltidsmuseet）,intake-medieval,IMG_3513.jpg,已替换（顺序结合图像内容校对）
65,诺贝尔博物馆（Nobel Prize Museum）,intake-nobel,IMG_3514.jpg,已替换（顺序结合图像内容校对）
66,Svedjan Bageri,intake-svedjan,IMG_3515.JPG,已替换（顺序结合图像内容校对）
